"address","name","chain","fee"
"0xcb1592591996765ec0efc1f92599a19767ee5ffa","BIO","BIO-ERC20",6.97
"DGB_DGB-Digibyte","DGB","DGB-Digibyte",0.0032
"0xef71ca2ee68f45b9ad6f72fbdb33d707b872315c","ETH","ETHK-OKTC",0.0
"6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump","VINE","VINE-Solana",31.16142858
"85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ","W","W-Solana",18.11710963
"0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7","SKL","SKL-ERC20",31.62
"0x5A7d6b2F92C77FAD6CCaBd7EE0624E64907Eaf3E","ZK","ZK-zkSync Era",0.5
"0xc18360217d8f7ab5e7c516566761ea12ce7f9d72","ENS","ENS-ERC20",0.039
"EQAvlWFDxGF2lXm67y4yzC17wYKD9A0guwPkMs1gOsM__NOT","NOT","NOT-TON",30.0
"0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c","BNT","BNT-ERC20",0.99
"0x01bff41798a0bcf287b996046ca68b395dbc1071","USDT","USDT-Optimism (USDT0)",0.15
"ETH_ETH-Base","ETH","ETH-Base",4e-05
"core.vaulta","A","A-Vaulta",0.08
"0xbbbbca6a901c926f240b89eacb641d8aec7aeafd","LRC","LRC-ERC20",8.55
"0x0f5d2fb29fb7d3cfee444a200298f468908cc942","MANA","MANA-ERC20",2.54
"0xFDFfB411C4A70AA7C95D5C981a6Fb4Da867e1111","SAHARA","SAHARA-ERC20",7.81
"0x382bb369d343125bfb2117af9c149795c6c65c50","USDT","USDT-OKTC",0.0
"STX_STX-l-Stacks","STX","STX-l-Stacks",1.2
"BCH_BCH-BitcoinCash","BCH","BCH-BitcoinCash",0.0008
"0x6864a6f921804860930db6ddbe2e16acdf8504495ea7481637a1c8b9a8fe54b::cetus::CETUS","CETUS","CETUS-SUI",0.1
"0xa99b8952d4f7d947ea77fe0ecdcc9e5fc0bcab2841d6e2a5aa00c3044e5544b5::navx::NAVX","NAVX","NAVX-SUI",0.2
"0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d","LQTY","LQTY-ERC20",1.03
"0x7ABc8A5768E6bE61A6c693a6e4EAcb5B60602C4D","CXT","CXT-ERC20",41.03
"ELF_ELF-AELF","ELF","ELF-AELF",1.0
"0x58b6a8a3302369daec383334672404ee733ab239","LPT","LPT-ERC20",0.12
"6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN","TRUMP","TRUMP-Solana",0.074
"0xf57e7e7c23978c3caec3c3548e3d615c346e79ff","IMX","IMX-ERC20",1.15
"0x6985884C4392D348587B19cb9eAAf157F13271cd","ZRO","ZRO-ERC20",0.37
"0x69af81e73a73b40adf4f3d4223cd9b1ece623074","MASK","MASK-ERC20",0.7
"ZEUS1aR7aX8DFFJf5QjWj2ftDDdNTroMNGo8YoQm3Gq","ZEUS","ZEUS-Solana",9.20127186
"APT_APT-Aptos","APT","APT-Aptos",0.0
"0xD1723Eb9e7C6eE7c7e2d421B2758dc0f2166eDDc","MENGO","MENGO-Chiliz 2.0 Chain",0.1
"0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce","SHIB","SHIB-ERC20",58372.81
"0xac1bd2486aaf3b5c0fc3fd868558b082a531b2b4","TOSHI","TOSHI-Base",1000.0
"0x4200000000000000000000000000000000000042","OP","OP-Optimism",0.1
"0xB528edBef013aff855ac3c50b381f253aF13b997","AEVO","AEVO-ERC20",9.59
"HBAR_HBAR-Hedera","HBAR","HBAR-Hedera",0.8
"J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn","JITOSOL","JITOSOL-Solana",0.0057
"0x1F57da732A77636D913C9a75d685B26CC85DCC3A","OL","OL-ERC20",10.0
"ACE_ACE-Endurance Smart Chain","ACE","ACE-Endurance Smart Chain",0.008
"0x767fe9edc9e0df98e07454847909b5e959d7ca0e","ILV","ILV-ERC20",0.055
"0x56072c95faa701256059aa122697b133aded9279","SKY","SKY-ERC20",10.11
"0xfAbA6f8e4a5E8Ab82F62fe7C39859FA577269BE3","ONDO","ONDO-ERC20",0.82
"RON_RON-Ronin","RON","RON-Ronin",0.0001
"ETHW_ETHW-EthereumPoW","ETHW","ETHW-EthereumPoW",0.01
"0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3","ELON","ELON-ERC20",7928151.63
"0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7","USDT","USDT-Avalanche C-Chain",0.22
"AVAX_AVAX-Avalanche X-Chain","AVAX","AVAX-Avalanche X-Chain",0.048
"0x6b3595068778dd592e39a122f4f5a5cf09c90fe2","SUSHI","SUSHI-ERC20",1.15
"0x99970778e2715bbc9cf8fb83d10dcbc2d2d551a3","ETC","ETCK-OKTC",0.0
"2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump","PNUT","PNUT-Solana",6.83070422
"KAIA_KAIA-Klaytn","KAIA","KAIA-Klaytn",0.004
"0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f","SNX","SNX-ERC20",0.55
"0xbb0e17ef65f82ab018d8edd776e8dd940327b28b","AXS","AXS-ERC20",0.4
"0x3845badade8e6dff049820680d1f14bd3903a5d0","SAND","SAND-ERC20",2.82
"0x91af0fbb28aba7e31403cb457106ce79397fd4e6","AERGO","AERGO-ERC20",7.95
"0x58D97B57BB95320F9a05dC918Aef65434969c2B2","MORPHO","MORPHO-ERC20",0.5
"0x6401b29F40a02578Ae44241560625232A01B3F79","CITY","CITY-Chiliz 2.0 Chain",0.1
"0x5a77f1443d16ee5761d310e38b62f77f726bc71c","ETH","ETH-X Layer",3e-05
"BTC_BTC-Lightning","BTC","BTC-Lightning",1e-06
"0x94a8b4EE5CD64C79D0Ee816f467EA73009f51aA0","RIO","RIO-BSC",1.0
"0xc944e90c64b2c07662a292be6244bdf05cda44a7","GRT","GRT-ERC20",9.3
"WLFinEv6ypjkczcS83FZqFpgFZYwQXutRbxGe7oC16g","WLFI","WLFI-Solana",10.0
"0xc00e94cb662c3520282e6f5717214004a7f26888","COMP","COMP-ERC20",0.017
"FLR_FLR-Flare","FLR","FLR-Flare",1.0
"0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","MOVE","MOVE-ERC20",2.0
"0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT","USDT-Polygon",0.8
"0x6e84a6216eA6dACC71eE8E6b0a5B7322EEbC0fDd","JOE","JOE-Avalanche C-Chain",2.0
"0xa715f624eb32c6c960b0e044b10cde585d5f5984","XRP","XRPK-OKTC",0.0
"ORDI_ORDI-BRC20","ORDI","ORDI-BRC20",0.67
"0x6894CDe390a3f51155ea41Ed24a33A4827d3063D","CAT","CAT-BSC",20000.0
"4LLbsb5ReP3yEtYzmXewyGjcir5uXtKFURtaEUVC2AHs","PRCL","PRCL-Solana",24.14157973
"ETH_ETH-ERC20","ETH","ETH-ERC20",0.00015
"SUI_SUI-SUI","SUI","SUI-SUI",0.06
"0xd1d2eb1b1e90b638588728b4130137d262c87cae","GALA","GALA-ERC20",363.2
"0x320623b8e4ff03373931769a31fc52a4e78b5d70","RSR","RSR-ERC20",106.63
"0x0d8775f648430679a709e98d2b0cb6250d2887ef","BAT","BAT-ERC20",3.5
"ATOM_ATOM-Cosmos","ATOM","ATOM-Cosmos",0.016
"TNSRxcUxoT9xBG3de7PiJyTDYu7kskLqcpddxnEJAS6","TNSR","TNSR-Solana",14.57114228
"0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9","USDT","USDT-Arbitrum One",0.098
"0xfa520efc34c81bfc1e3dd48b7fe9ff326049f986","LTC","LTCK-OKTC",0.0
"HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3","PYTH","PYTH-Solana",8.66971382
"0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202","KNC","KNC-ERC20",1.99
"DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263","BONK","BONK-Solana",108038.64181271
"GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump","ACT","ACT-Solana",28.0
"0x714db550b574b3e927af3d93e26127d15721d4c2","GMT","GMT-Polygon",1.0
"0xa35923162c49cf95e6bf26623385eb431ad920d3","TURBO","TURBO-ERC20",251.3
"ETH_ETH-Linea","ETH","ETH-Linea",3e-05
"0x37a645648df29205c6261289983fb04ecd70b4b3","ANIME","ANIME-Arbitrum One",0.79433076
"native:GDN4U3BDFVMK74IJ46GXEN5ZDRA5QIJQF6TM3NBJIG4IQW2RDGYXSMRN","XLM","XLM-Stellar Lumens",0.016
"0x1E4a5963aBFD975d8c9021ce480b42188849D41d","USDT","USDT-X Layer",0.0
"BNB_BNB-BSC","BNB","BNB-BSC",0.0002
"Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB","USDT","USDT-Solana",1.0
"TFczxzPhnThNSqr5by8tvxsdCFRRz6cPNq","NFT","NFT-TRC20",80000.0
"0x93d84ff2c5f5a5a3d7291b11af97679e75eeac92","SPURS","SPURS-Chiliz Chain",1.0
"DYDX_DYDX-DYDX","DYDX","DYDX-DYDX",0.03
"0x4d2d32d8652058bf98c772953e1df5c5c85d9f45","DAO","DAO-BSC",0.2
"0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7","ETH","ETH-Starknet",9.5e-05
"MINA_MINA-Mina","MINA","MINA-Mina",0.72
" ","ETH","ETH-Optimism",4e-05
"0x3f382dbd960e3a9bbceae22651e88158d2791550","GHST","GHST-ERC20",1.93
"0x54e4622dc504176b3bb432dccaf504569699a7ff","BTC","BTCK-OKTC",0.0
"0xd29687c813d741e2f938f4ac377128810e217b1b","SCR","SCR-Scroll",0.5
"0x94b008aa00579c1307b0ef2c499ad98a8ce58e58","USDT","USDT-Optimism",0.15
"0xf0151f528127558851b39c2cd8aa47da7418ab28","FLM","FLM-N3",1.0
"ADA_ADA-Cardano","ADA","ADA-Cardano",0.8
"JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN","JUP","JUP-Solana",3.97684594
"1E+38","ONT","ONT-Ontology",1.0
"jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL","JTO","JTO-Solana",1.25362068
"EQCxE6mUtQJKFnGfaROTKOt1lZbDiiX1kCixRv7Nw2Id_sDs","USDT","USDT-TON",0.15
"0xdA5e1988097297dCdc1f90D4dFE7909e847CBeF6","WLFI","WLFI-ERC20",20.0
"0x4f9254c83eb525f9fcf346490bbb3ed28a81c667","CELR","CELR-ERC20",104.27
"7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx","GMT","GMT-Solana",41.53589747
"0x172370d5cd63279efa6d502dab29171933a610af","CRV","CRV-Polygon",0.01
"INJ_INJ-INJ","INJ","INJ-INJ",0.008
"0x4ed4e862860bed51a9570b96d89af5e1b0efefed","DEGEN","DEGEN-Base",0.5
"0xbe0Ed4138121EcFC5c0E56B40517da27E6c5226B","ATH","ATH-ERC20",50.0
"ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82","BOME","BOME-Solana",1163.36002888
"METIS_METIS-Metis","METIS","METIS-Metis",0.01
"0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","USDT-ERC20",0.59
"SOPH_SOPH-Sophon","SOPH","SOPH-Sophon",0.75
"0xed04915c23f00a313a544955524eb7dbd823143d","ACH","ACH-ERC20",46.56
"0x9560e827aF36c94D2Ac33a39bCE1Fe78631088Db","VELODROME","VELODROME-Optimism (V2)",2.0
"0x12bb890508c125661e03b09ec06e404bc9289040","RACA","RACA-BSC",100.0
"CORE_CORE-CORE","CORE","CORE-CORE",0.001
"POL_POL-Polygon","POL","POL-Polygon",0.1
"0x30d20208d987713f46dfd34ef128bb16c404d10f","SD","SD-ERC20",1.37
"0xec53bf9167f50cdeb3ae105f56099aaab9061f83","EIGEN","EIGEN-ERC20",2.0
"EQCvxJy4eG8hyHBFsZ7eePxrRsUQSFE_jpptRAYBmcG_DOGS","DOGS","DOGS-TON",50.0
"DJ7vji2BU7RjNgktPAKN4L42CiXTFHEt4Eeeyr5FiTmy","ASP","ASP-Solana",10.0
"ICP_ICP-Dfinity","ICP","ICP-Dfinity",0.00024
"0xbc396689893d065f41bc2c6ecbee5e0085233447","PERP","PERP-ERC20",2.8
"0xdf54b6c6195ea4d948d03bfd818d365cf175cfc2","OKB","OKB-OKTC",0.0
"FLOW_FLOW-FLOW","FLOW","FLOW-FLOW",0.0
"0x80c62fe4487e1351b47ba49809ebd60ed085bf52","CLV","CLV-ERC20",45.61
"ETC_ETC-Ethereum Classic","ETC","ETC-Ethereum Classic",0.008
"0x9d65ff81a3c488d585bbfb0bfe3c7707c7917f54","SSV","SSV-ERC20",0.05
"VELO:GDM4RQUQQUVSKQA7S6EM7XBZP3FCGH4Q7CL6TABQ7B2BEJ5ERARM2M5M","VELO","VELO-Stellar Lumens",40.0
"0x912ce59144191c1204e64559fe8253a0e49e6548","ARB","ARB-Arbitrum One",0.02
"XPL_XPL-Plasma","XPL","XPL-Plasma",1.2e-06
"ZETA_ZETA-ZetaChain","ZETA","ZETA-ZetaChain",0.001
"G_G-Gravity Alpha Mainnet","G","G-Gravity Alpha Mainnet",1e-06
"0x6c5ba91642f10282b576d91922ae6448c9d52f4e","PHA","PHA-ERC20",10.4
"0x04fa0d235c4abf4bcf4787af4cf447de572ef828","UMA","UMA-ERC20",0.54
"0x696f9436b67233384889472cd7cd58a6fb5df4f1","AVNT","AVNT-Base",1.0
"ICX_ICX-ICON","ICX","ICX-ICON",0.016
"0x808507121B80c02388fAd14726482e061B8da827","PENDLE","PENDLE-ERC20",1.0
"0xa9b1eb5908cfc3cdf91f9b8b3a74108598009096","AUCTION","AUCTION-ERC20",0.089
"MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u","ME","ME-Solana",2.38523783
"0x2dfF88A56767223A5529eA5960Da7A3F5f766406","ID","ID-ERC20",10.0
"DOT_DOT-Polkadot","DOT","DOT-Polkadot",0.08
"TIA_TIA-Celestia","TIA","TIA-Celestia",0.1
"KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS","KMNO","KMNO-Solana",15.89867004
"rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof","RENDER","RENDER-Solana",0.90835513
"0xc71b5f631354be6853efe9c3ab6b9590f8302e81","ZKJ","ZKJ-ERC20",5.0
"0x6dab8fe8e5d425f2eb063aae58540aa04e273e0d","GALFT","GALFT-Chiliz 2.0 Chain",0.1
"0xf411903cbc70a74d22900a5de66a2dda66507255","VRA","VRA-ERC20",911.62
"RVN_RVN-Ravencoin","RVN","RVN-Ravencoin",0.8
"0x68749665ff8d2d112fa859aa293f07a622782f38","XAUT","XAUT-ERC20",0.00015
"0x7a58c0be72be218b41c608b7fe7c5bb630736c71","PEOPLE","PEOPLE-ERC20",49.75
"BABY_BABY-Babylon","BABY","BABY-Babylon",0.01
"0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa","ORBS","ORBS-ERC20",45.12
"0xa3ee21c306a700e682abcdfe9baa6a08f3820419","CTC","CTC-ERC20",1.22
"0x539bde0d7dbd336b79148aa742883198bbf60342","MAGIC","MAGIC-Arbitrum One",0.0872885
"0x471ece3750da237f93b8e339c536989b8978a438","CELO","CELO-CELO-TOKEN",0.0
"0x7dcb50b2180BC896Da1200D2726a88AF5D2cBB5A","ORDI","ORDI-MERLIN Network",0.05
"AVAX_AVAX-Avalanche C-Chain","AVAX","AVAX-Avalanche C-Chain",0.0064
"0x000Ae314E2A2172a039B26378814C252734f556A","ASTER","ASTER-BSC",0.5
"0xd533a949740bb3306d119cc777fa900ba034cd52","CRV","CRV-ERC20",1.11
"0xc20059e0317DE91738d13af027DfC4a50781b066","SPK","SPK-ERC20",16.01
"0x514910771af9ca656af840dff83e8264ecf986ca","LINK","LINK-ERC20",0.033
"0xb131f4A55907B10d1F0A50d8ab8FA09EC342cd74","MEME","MEME-ERC20",377.19
"CRO_CRO-Crypto","CRO","CRO-Crypto",0.03
"0x88df592f8eb5d7bd38bfef7deb0fbc02cf3778a0","TRB","TRB-ERC20",0.024
